t	Alfa	omega	energia
0.013300	3.053310	4.016574	20394.117454
0.013400	3.053712	4.016699	20395.128784
0.013500	3.054113	4.016825	20396.139768
0.013600	3.054515	4.016950	20397.150405
0.013700	3.054917	4.017076	20398.160696
0.013800	3.055318	4.017201	20399.170641
0.013900	3.055720	4.017327	20400.180239
0.014000	3.056122	4.017453	20401.189490
0.014100	3.056524	4.017578	20402.198395
0.014200	3.056925	4.017704	20403.206953
0.014300	3.057327	4.017829	20404.215165
0.014400	3.057729	4.017955	20405.223029
0.014500	3.058131	4.018081	20406.230547
0.014600	3.058533	4.018206	20407.237718
0.014700	3.058934	4.018332	20408.244541
0.014800	3.059336	4.018458	20409.251018
0.014900	3.059738	4.018583	20410.257148
0.015000	3.060140	4.018709	20411.262930
0.015100	3.060542	4.018835	20412.268366
0.015200	3.060944	4.018961	20413.273454
0.015300	3.061346	4.019086	20414.278194
0.015400	3.061748	4.019212	20415.282588
0.015500	3.062149	4.019338	20416.286634
0.015600	3.062551	4.019464	20417.290332
0.015700	3.062953	4.019589	20418.293683
0.015800	3.063355	4.019715	20419.296687
0.015900	3.063757	4.019841	20420.299342
0.016000	3.064159	4.019967	20421.301650
0.016100	3.064561	4.020093	20422.303611
0.016200	3.064963	4.020219	20423.305223
0.016300	3.065365	4.020344	20424.306488
0.016400	3.065767	4.020470	20425.307405
0.016500	3.066169	4.020596	20426.307973
0.016600	3.066571	4.020722	20427.308194
0.016700	3.066974	4.020848	20428.308067
0.016800	3.067376	4.020974	20429.307592
0.016900	3.067778	4.021100	20430.306768
0.017000	3.068180	4.021226	20431.305596
0.017100	3.068582	4.021352	20432.304076
0.017200	3.068984	4.021478	20433.302207
0.017300	3.069386	4.021604	20434.299991
0.017400	3.069788	4.021730	20435.297425
0.017500	3.070191	4.021856	20436.294511
0.017600	3.070593	4.021982	20437.291249
0.017700	3.070995	4.022108	20438.287638
0.017800	3.071397	4.022234	20439.283678
0.017900	3.071799	4.022360	20440.279370
0.018000	3.072202	4.022486	20441.274713
0.018100	3.072604	4.022613	20442.269707
0.018200	3.073006	4.022739	20443.264352
0.018300	3.073409	4.022865	20444.258648
0.018400	3.073811	4.022991	20445.252595
0.018500	3.074213	4.023117	20446.246194
0.018600	3.074615	4.023243	20447.239443
0.018700	3.075018	4.023370	20448.232343
0.018800	3.075420	4.023496	20449.224893
0.018900	3.075822	4.023622	20450.217095
0.019000	3.076225	4.023748	20451.208947
0.019100	3.076627	4.023874	20452.200450
0.019200	3.077030	4.024001	20453.191603
0.019300	3.077432	4.024127	20454.182407
0.019400	3.077834	4.024253	20455.172862
0.019500	3.078237	4.024380	20456.162966
0.019600	3.078639	4.024506	20457.152722
0.019700	3.079042	4.024632	20458.142127
0.019800	3.079444	4.024759	20459.131183
0.019900	3.079847	4.024885	20460.119889
0.020000	3.080249	4.025011	20461.108245
0.020100	3.080652	4.025138	20462.096252
0.020200	3.081054	4.025264	20463.083908
0.020300	3.081457	4.025390	20464.071215
0.020400	3.081859	4.025517	20465.058171
0.020500	3.082262	4.025643	20466.044777
0.020600	3.082664	4.025770	20467.031034
0.020700	3.083067	4.025896	20468.016940
0.020800	3.083470	4.026023	20469.002495
0.020900	3.083872	4.026149	20469.987701
0.021000	3.084275	4.026276	20470.972556
0.021100	3.084678	4.026402	20471.957061
0.021200	3.085080	4.026529	20472.941215
0.021300	3.085483	4.026655	20473.925018
0.021400	3.085885	4.026782	20474.908472
0.021500	3.086288	4.026908	20475.891574
0.021600	3.086691	4.027035	20476.874326
0.021700	3.087094	4.027161	20477.856727
0.021800	3.087496	4.027288	20478.838778
0.021900	3.087899	4.027415	20479.820477
0.022000	3.088302	4.027541	20480.801826
0.022100	3.088705	4.027668	20481.782824
0.022200	3.089107	4.027795	20482.763471
0.022300	3.089510	4.027921	20483.743767
0.022400	3.089913	4.028048	20484.723712
0.022500	3.090316	4.028175	20485.703305
0.022600	3.090719	4.028301	20486.682548
0.022700	3.091121	4.028428	20487.661439
0.022800	3.091524	4.028555	20488.639979
0.022900	3.091927	4.028681	20489.618168
0.023000	3.092330	4.028808	20490.596005
0.023100	3.092733	4.028935	20491.573491
0.023200	3.093136	4.029062	20492.550626
